Price,historical_rolling_95,historical_rolling_99,ewma_rolling_95,ewma_rolling_99
2005-01-03,,,0.9572592366702455,1.3669406953978307
2005-01-04,,,0.9271362031419891,1.32433711422812
2005-01-05,,,1.011366354843713,1.4434654251797812
2005-01-06,,,0.9901432131118016,1.4134491308180726
2005-01-07,,,0.9690040717343841,1.3835516397607395
2005-01-10,,,0.9402379642004031,1.3428671849195297
2005-01-11,,,0.9206383839188981,1.3151471245002466
2005-01-12,,,0.923975571311803,1.3198669723150025
2005-01-13,,,0.9085977483074501,1.2981178237783904
2005-01-14,,,0.9445653391703426,1.3489874739206575
2005-01-18,,,0.9450832326408833,1.3497199405392253
2005-01-19,,,0.9917155778942356,1.415672956335977
2005-01-20,,,1.0323336403038859,1.4731198571337558
2005-01-21,,,1.0468941345062364,1.4937130419482616
2005-01-24,,,1.0457105375286522,1.4920390581557783
2005-01-25,,,1.022554028378014,1.4592883653584892
2005-01-26,,,1.0030479839135324,1.4317005944302061
2005-01-27,,,0.9902513650443342,1.4136020921601629
2005-01-28,,,0.959260194791973,1.3697706886545273
2005-01-31,,,0.9353057026813835,1.3358913933287297
2005-02-01,,,0.9654144496771244,1.378474768782868
2005-02-02,,,0.9738639436397679,1.390425049339532
2005-02-03,,,0.9515821200060257,1.3589114409607859
2005-02-04,,,0.928141011040509,1.3257582332141744
2005-02-07,,,0.9987634455035285,1.4256408899932635
2005-02-08,,,0.9683401567780653,1.3826126521682454
2005-02-09,,,0.9380745264956459,1.3398073936878871
2005-02-10,,,0.9705306363889744,1.3857106892838107
2005-02-11,,,0.9546482937725848,1.3632479890319322
2005-02-14,,,0.9642200412502433,1.3767854941513247
2005-02-15,,,0.9342928899989714,1.334458953024058
2005-02-16,,,0.9142295232510871,1.3060829505547398
2005-02-17,,,0.885446590341855,1.2653746992642267
2005-02-18,,,0.9135190782517801,1.305078154634495
2005-02-22,,,0.8851616192326536,1.2649716591862579
2005-02-23,,,1.034533945532458,1.4762317908078886
2005-02-24,,,1.026325172378422,1.4646219662846156
2005-02-25,,,1.0419087233458308,1.4866620798053725
2005-02-28,,,1.0741105370942985,1.5322057195107774
2005-03-01,,,1.0713348747499734,1.52828004728805
2005-03-02,,,1.0616335908390895,1.5145593363191479
2005-03-03,,,1.0283878572908625,1.4675392609193763
2005-03-04,,,0.9961799773874928,1.4219870417353302
2005-03-07,,,1.0369947027756108,1.4797120867365596
2005-03-08,,,1.0097532480653337,1.4411839774795148
2005-03-09,,,0.9964659120685254,1.4223914446113284
2005-03-10,,,1.0471242454568208,1.4940384922569787
2005-03-11,,,1.0169281789000242,1.4513316190812828
2005-03-14,,,1.0302464971078522,1.4701679706817614
2005-03-15,,,1.0224121500794772,1.4590877041733445
2005-03-16,0.9921480269968488,1.3204701738109548,1.0346466681660744,1.4763912165797464
2005-03-17,0.9886384153040673,1.3175982182160657,1.0526375302692508,1.5018360361795642
2005-03-18,0.9851288036112856,1.3147262626211766,1.022106706407973,1.4586557093598242
2005-03-21,0.9816191919185041,1.3118543070262874,0.9901840760741994,1.4135069240855973
2005-03-22,0.9781095802257226,1.3089823514313983,0.9789066312318825,1.3975570186328181
2005-03-23,1.0240705588399999,1.3061103958365092,1.0315888227126404,1.4720664474007856
2005-03-24,1.0240145544053136,1.3032384402416202,0.9995867981607806,1.426805373368805
2005-03-28,1.0239585499706276,1.300366484646731,0.9689023049893734,1.3834077091112125
2005-03-29,1.0239025455359414,1.2974945290518418,0.9433876420888323,1.3473218344637818
2005-03-30,1.0238465411012552,1.2946225734569528,0.9623610789870675,1.3741563283471452
2005-03-31,1.0237905366665692,1.2917506178620637,1.0785494886241471,1.538483813369848
2005-04-01,1.0237345322318827,1.2888786622671746,1.0450950269656079,1.491168529820414
2005-04-04,1.0202249205391012,1.2860067066722856,1.044822783693993,1.4907834909660347
2005-04-05,1.0167153088463197,1.2831347510773963,1.0177895301563378,1.4525498446006209
2005-04-06,1.0132056971535381,1.2802627954825072,1.0016463192946277,1.4297181934111252
2005-04-07,1.0096960854607566,1.2773908398876181,0.9743226014671135,1.39107373785751
2005-04-08,1.0061864737679749,1.274518884292729,0.9727435268371752,1.3888404224742334
2005-04-11,1.0026768620751934,1.27164692869784,0.9990261023646011,1.4260123706042718
2005-04-12,0.9991672503824118,1.2687749731029507,0.9676307401839052,1.3816093107410252
2005-04-13,0.9956576386896303,1.2659030175080617,0.962482902711719,1.374328625965734
